,学校名,住所,センター,緯度,経度,dish,class,dish_container,food_container,高度
0,袋井東小学校,広岡2317番地の１,中部センター,34.7581021,137.9450523,318,13,2,2,15.24838352203369
1,袋井西小学校,袋井市川井442番地,中部センター,34.7462358,137.9161396,543,20,3,3,12.07047080993652
2,袋井南小学校,高尾740番地,中部センター,34.74207910000001,137.9319082,641,22,3,3,25.32787132263184
3,袋井北小学校,久能1580番地,中部センター,34.7592071,137.9148257,"1,079",34,6,6,14.27334022521973
4,高南小学校,上田町306番地の２,中部センター,34.7347209,137.9343822,441,15,3,3,12.84996318817139
5,浅羽東小学校,浅羽2800番地,中部センター,34.7211789,137.9272602,387,13,3,2,17.66181182861328
6,袋井中学校,川井701番地,中部センター,34.745832,137.9188932,860,30,4,4,11.62743663787842
7,袋井南中学校,愛野3110番地,中部センター,34.7420358,137.9424232,522,16,3,3,30.80122756958008
8,袋井東幼稚園,国本2288番地,中部センター,34.760808,137.9379358,69,3,0,1,14.77300071716309
9,袋井西幼稚園,川井568番地の１,中部センター,34.7450251,137.9154471,62,3,0,1,10.49427032470703
10,田原幼稚園,新池190番地の１,中部センター,34.7292543,137.9076388,42,2,0,1,7.006800651550293
11,浅羽東こども園,浅羽2617番地の１,中部センター,34.7200928,137.9290092,115,6,0,1,19.03496551513672
12,浅羽西幼稚園,長溝873番地の１,中部センター,34.7037981,137.9094161,52,3,0,1,6.307924747467041
13,浅羽南幼稚園,松原1793番地,中部センター,34.6812009,137.9329906,78,3,0,1,4.756153583526611
14,浅羽北幼稚園,浅名41番地,中部センター,34.7073647,137.9228252,55,3,0,1,4.488914012908936
15,笠原小学校,山崎4822番地,中部センター,34.7121409,137.9663604,170,8,1,1,68.95613098144531
16,浅羽南小学校,西同笠148番地,中部センター,34.6813469,137.9352664,324,13,3,2,3.745952844619751
17,浅羽北小学校,浅羽1322番地,中部センター,34.7081258,137.9220136,348,14,3,2,5.036250591278076
18,浅羽中学校,浅名822番地,中部センター,34.7039778,137.933609,648,20,3,3,5.501086711883545
19,今井小学校,太田692番地,調理センター,34.7676207,137.8906413,244,10,2,2,13.41049194335938
20,三川小学校,友永38番地,調理センター,34.7979361,137.8784759,174,7,2,2,21.3971996307373
21,山名小学校,春岡684番地,調理センター,34.790331,137.9133573,999,29,6,6,35.47881317138672
22,周南中学校,下山梨一丁目１番地の１,調理センター,34.7775261,137.9089138,821,24,4,4,20.27627563476562
23,若草幼稚園,堀越766番地の１,調理センター,34.7580449,137.9102056,188,7,2,0,14.42508411407471
24,今井幼稚園,太田723番地の１,調理センター,34.7669187,137.8913365,65,3,1,0,14.92909908294678
25,三川幼稚園,友永113番地の１,調理センター,34.7979442,137.8797968,55,3,1,0,20.86822891235352
26,山梨幼稚園,春岡一丁目８番地の７,調理センター,34.7927728,137.914152,272,11,3,0,38.46064758300781
27,若葉幼稚園,久能1310番地,調理センター,34.7587627,137.9205366,110,5,1,0,11.53976821899414
28,中部センター,豊沢２２８９−２,中部センター,34.7376934,137.9642717,0,0,0,0,71.02287292480469
29,調理センター,深見２３７,調理センター,34.7829575,137.8928492,0,0,0,0,18.78025245666504
30,洗浄センター,新堀166番地の3,洗浄センター,34.6986166,137.9340729,0,0,0,0,4.711309909820557
